Target Distance: 100, Step Size: 20
96: (x,y) = (-16.4301, -11.0153)
97: (x,y) = (-14.4814, -11.4652)
98: (x,y) = (-16.1587, -12.5545)
99: (x,y) = (-17.3624, -10.9572)
100: (x,y) = (-16.5489, -9.13015)
101: (x,y) = (-18.2981, -8.16053)
102: (x,y) = (-18.611, -10.1359)
103: (x,y) = (-18.611, -12.1359)
104: (x,y) = (-17.0137, -10.9323)
105: (x,y) = (-17.6649, -9.04124)
106: (x,y) = (-16.6649, -10.7733)
107: (x,y) = (-18.2829, -11.9489)
108: (x,y) = (-19.6971, -10.5346)
109: (x,y) = (-17.795, -11.1527)
110: (x,y) = (-16.4829, -12.6621)
111: (x,y) = (-15.8317, -14.5531)
112: (x,y) = (-17.318, -15.8914)
113: (x,y) = (-15.3548, -15.5098)
114: (x,y) = (-16.8175, -14.1458)
115: (x,y) = (-15.9722, -12.3332)
116: (x,y) = (-14.1312, -13.1146)
117: (x,y) = (-14.5471, -15.0709)
118: (x,y) = (-13.3157, -13.4949)
119: (x,y) = (-14.8252, -12.1828)
120: (x,y) = (-16.7657, -11.6989)
121: (x,y) = (-16.1477, -9.79683)
122: (x,y) = (-14.9441, -8.19956)
123: (x,y) = (-14.5625, -10.1628)
124: (x,y) = (-13.4732, -8.48547)
125: (x,y) = (-12.5964, -10.2831)
126: (x,y) = (-14.5527, -10.6989)
127: (x,y) = (-16.4549, -11.3169)
128: (x,y) = (-18.2369, -12.2249)
129: (x,y) = (-16.6396, -13.4285)
130: (x,y) = (-18.5714, -12.9109)
131: (x,y) = (-16.6921, -13.5949)
132: (x,y) = (-15.2534, -12.2056)
133: (x,y) = (-16.6921, -13.5949)
134: (x,y) = (-17.6617, -15.3442)
135: (x,y) = (-18.3784, -13.477)
136: (x,y) = (-20.176, -12.6003)
137: (x,y) = (-20.0365, -10.6051)
138: (x,y) = (-20.0016, -12.6048)
139: (x,y) = (-21.856, -13.354)
140: (x,y) = (-22.474, -11.4519)
141: (x,y) = (-24.4691, -11.3124)
142: (x,y) = (-26.235, -12.2514)
143: (x,y) = (-26.1652, -10.2526)
144: (x,y) = (-24.2631, -9.63455)
145: (x,y) = (-22.731, -10.9201)
146: (x,y) = (-23.9897, -9.36583)
147: (x,y) = (-23.4384, -11.2884)
148: (x,y) = (-24.2836, -13.101)
149: (x,y) = (-22.9715, -14.6104)
150: (x,y) = (-24.3098, -13.1241)
151: (x,y) = (-25.0912, -14.9651)
152: (x,y) = (-26.9038, -15.8103)
153: (x,y) = (-25.9342, -17.5596)
154: (x,y) = (-24.2761, -16.4412)
155: (x,y) = (-25.5075, -14.8652)
156: (x,y) = (-23.5849, -14.3139)
157: (x,y) = (-22.9009, -16.1933)
158: (x,y) = (-23.6501, -18.0477)
159: (x,y) = (-22.6805, -16.2984)
160: (x,y) = (-20.8829, -17.1752)
161: (x,y) = (-22.8316, -16.7253)
162: (x,y) = (-24.47, -17.8724)
163: (x,y) = (-23.0072, -16.5084)
164: (x,y) = (-21.0149, -16.6827)
165: (x,y) = (-19.6006, -18.0969)
166: (x,y) = (-18.2624, -16.6107)
167: (x,y) = (-18.7123, -14.6619)
168: (x,y) = (-20.4266, -13.6318)
169: (x,y) = (-21.3346, -11.8498)
170: (x,y) = (-20.7499, -13.7624)
171: (x,y) = (-20.3682, -11.7992)
172: (x,y) = (-20.0554, -13.7746)
173: (x,y) = (-20.7065, -11.8835)
174: (x,y) = (-22.6989, -11.7092)
175: (x,y) = (-21.5805, -13.3673)
176: (x,y) = (-20.2949, -14.8994)
177: (x,y) = (-18.6566, -16.0465)
178: (x,y) = (-16.6813, -16.3594)
179: (x,y) = (-17.9126, -14.7834)
180: (x,y) = (-17.3278, -12.8708)
181: (x,y) = (-17.5021, -14.8632)
182: (x,y) = (-15.7362, -15.8021)
183: (x,y) = (-17.7213, -15.5584)
184: (x,y) = (-15.7517, -15.9057)
185: (x,y) = (-13.8199, -16.4233)
186: (x,y) = (-11.9073, -17.008)
187: (x,y) = (-12.7525, -18.8206)
188: (x,y) = (-13.3038, -16.8981)
189: (x,y) = (-11.6857, -15.7226)
190: (x,y) = (-9.85865, -16.536)
191: (x,y) = (-10.8887, -18.2504)
192: (x,y) = (-12.7798, -17.5992)
193: (x,y) = (-13.2297, -15.6505)
194: (x,y) = (-11.2809, -16.1004)
195: (x,y) = (-10.1054, -17.7184)
196: (x,y) = (-10.5892, -19.659)
197: (x,y) = (-8.60411, -19.4153)
198: (x,y) = (-8.88245, -17.4347)
199: (x,y) = (-6.88519, -17.5394)
200: (x,y) = (-4.98308, -18.1574)
201: (x,y) = (-6.13023, -19.7957)
202: (x,y) = (-8.11532, -20.0395)
203: (x,y) = (-9.1454, -21.7538)
204: (x,y) = (-9.95887, -19.9267)
205: (x,y) = (-11.0187, -21.6228)
206: (x,y) = (-11.6367, -23.5249)
207: (x,y) = (-9.80966, -24.3384)
208: (x,y) = (-8.44566, -25.8011)
209: (x,y) = (-9.53494, -24.1238)
210: (x,y) = (-8.09626, -22.7345)
211: (x,y) = (-7.25102, -24.5471)
212: (x,y) = (-8.66523, -23.1329)
213: (x,y) = (-9.63485, -24.8821)
214: (x,y) = (-10.9989, -26.3448)
215: (x,y) = (-9.53614, -27.7088)
216: (x,y) = (-8.91811, -25.8067)
217: (x,y) = (-7.55411, -27.2694)
218: (x,y) = (-7.62391, -29.2682)
219: (x,y) = (-8.88255, -27.7139)
220: (x,y) = (-8.84765, -29.7136)
221: (x,y) = (-8.03417, -31.5407)
222: (x,y) = (-9.6102, -32.772)
223: (x,y) = (-10.8958, -34.3041)
224: (x,y) = (-8.96392, -33.7865)
225: (x,y) = (-9.61506, -31.8954)
226: (x,y) = (-11.4126, -31.0187)
227: (x,y) = (-10.154, -29.4644)
228: (x,y) = (-8.154, -29.4644)
229: (x,y) = (-7.37254, -31.3054)
230: (x,y) = (-7.85638, -33.246)
231: (x,y) = (-8.63785, -31.405)
232: (x,y) = (-7.22363, -29.9908)
233: (x,y) = (-8.84167, -31.1663)
234: (x,y) = (-10.8222, -30.888)
235: (x,y) = (-9.02461, -30.0112)
236: (x,y) = (-7.99454, -28.2969)
237: (x,y) = (-9.93513, -28.7808)
238: (x,y) = (-8.67649, -30.335)
239: (x,y) = (-10.2738, -29.1314)
240: (x,y) = (-9.04244, -27.5554)
241: (x,y) = (-8.3584, -29.4348)
242: (x,y) = (-8.90967, -31.3573)
243: (x,y) = (-9.22254, -29.3819)
244: (x,y) = (-9.80728, -31.2945)
245: (x,y) = (-9.80728, -33.2945)
246: (x,y) = (-8.25299, -34.5532)
247: (x,y) = (-10.2162, -34.9348)
248: (x,y) = (-8.21899, -35.0395)
249: (x,y) = (-6.98766, -33.4634)
250: (x,y) = (-8.97671, -33.6725)
251: (x,y) = (-7.37944, -32.4689)
252: (x,y) = (-5.44759, -31.9512)
253: (x,y) = (-3.77024, -33.0405)
254: (x,y) = (-5.58286, -33.8857)
255: (x,y) = (-6.1005, -31.9539)
256: (x,y) = (-4.54621, -33.2125)
257: (x,y) = (-3.96146, -35.1251)
258: (x,y) = (-2.36419, -36.3288)
259: (x,y) = (-0.925512, -34.9395)
260: (x,y) = (-0.785999, -32.9443)
261: (x,y) = (-0.855798, -34.9431)
262: (x,y) = (-2.73518, -35.6272)
263: (x,y) = (-3.64316, -37.4092)
264: (x,y) = (-4.42463, -35.5682)
265: (x,y) = (-2.47589, -36.0181)
266: (x,y) = (-1.13763, -34.5318)
267: (x,y) = (-1.88684, -36.3861)
268: (x,y) = (-2.23413, -34.4165)
269: (x,y) = (-0.658113, -35.6478)
270: (x,y) = (1.22127, -34.9638)
271: (x,y) = (1.25618, -36.9635)
272: (x,y) = (3.06879, -37.8087)
273: (x,y) = (2.55115, -35.8769)
274: (x,y) = (0.769141, -36.7849)
275: (x,y) = (2.20782, -38.1742)
276: (x,y) = (0.38073, -37.3607)
277: (x,y) = (2.31258, -37.8783)
278: (x,y) = (0.349327, -38.26)
279: (x,y) = (-0.0322909, -40.2232)
280: (x,y) = (-0.34516, -38.2478)
281: (x,y) = (-1.2841, -40.0137)
282: (x,y) = (-1.2143, -38.015)
283: (x,y) = (-1.1445, -40.0137)
284: (x,y) = (-3.04662, -39.3957)
285: (x,y) = (-2.69932, -37.4261)
286: (x,y) = (-1.88585, -35.599)
287: (x,y) = (-3.65174, -34.6601)
288: (x,y) = (-4.62136, -32.9108)
289: (x,y) = (-6.17565, -31.6522)
290: (x,y) = (-5.75983, -29.6959)
291: (x,y) = (-3.78445, -30.0087)
292: (x,y) = (-5.73319, -30.4586)
293: (x,y) = (-6.11481, -28.4954)
294: (x,y) = (-7.45307, -27.0091)
295: (x,y) = (-6.93544, -25.0773)
296: (x,y) = (-5.05605, -24.3932)
297: (x,y) = (-4.53841, -26.3251)
298: (x,y) = (-2.59782, -26.8089)
299: (x,y) = (-1.04353, -28.0675)
300: (x,y) = (-1.88877, -26.2549)
301: (x,y) = (-3.44306, -24.9963)
302: (x,y) = (-2.56632, -26.7939)
303: (x,y) = (-0.725306, -26.0124)
304: (x,y) = (-0.864819, -28.0075)
305: (x,y) = (0.831278, -26.9477)
306: (x,y) = (-0.807026, -28.0949)
307: (x,y) = (0.768995, -29.3262)
308: (x,y) = (-0.927101, -30.386)
309: (x,y) = (0.132737, -28.6899)
310: (x,y) = (0.849473, -30.5571)
311: (x,y) = (0.331835, -28.6252)
312: (x,y) = (0.849473, -26.6934)
313: (x,y) = (0.70996, -28.6885)
314: (x,y) = (1.99554, -30.2206)
315: (x,y) = (2.58028, -28.308)
316: (x,y) = (4.51213, -27.7904)
317: (x,y) = (2.8941, -26.6148)
318: (x,y) = (3.77084, -24.8172)
319: (x,y) = (2.0935, -23.7279)
320: (x,y) = (4.02535, -24.2456)
321: (x,y) = (5.55744, -22.96)
322: (x,y) = (6.30665, -21.1056)
323: (x,y) = (8.26991, -20.724)
324: (x,y) = (8.3397, -22.7228)
325: (x,y) = (6.7014, -23.8699)
326: (x,y) = (7.93272, -22.2939)
327: (x,y) = (5.94033, -22.4682)
328: (x,y) = (7.55837, -21.2926)
329: (x,y) = (5.64576, -21.8774)
330: (x,y) = (4.04849, -20.6738)
331: (x,y) = (5.25212, -19.0765)
332: (x,y) = (4.25212, -20.8085)
333: (x,y) = (3.13373, -22.4666)
334: (x,y) = (3.94721, -20.6395)
335: (x,y) = (5.9323, -20.3958)
336: (x,y) = (6.10661, -18.4034)
337: (x,y) = (7.25376, -20.0417)
338: (x,y) = (5.27839, -20.3546)
339: (x,y) = (4.18911, -22.0319)
340: (x,y) = (4.97057, -23.8729)
341: (x,y) = (6.89309, -24.4242)
342: (x,y) = (4.92984, -24.8058)
343: (x,y) = (4.47994, -26.7546)
344: (x,y) = (5.44956, -25.0053)
345: (x,y) = (7.32894, -25.6894)
346: (x,y) = (6.6778, -23.7983)
347: (x,y) = (4.88022, -22.9216)
348: (x,y) = (2.88296, -23.0262)
349: (x,y) = (4.57905, -24.0861)
350: (x,y) = (5.66833, -25.7634)
351: (x,y) = (5.94668, -23.7829)
352: (x,y) = (4.30837, -24.93)
353: (x,y) = (4.68999, -22.9668)
354: (x,y) = (3.1357, -24.2254)
355: (x,y) = (2.35424, -26.0664)
356: (x,y) = (0.527147, -25.253)
357: (x,y) = (1.24388, -27.1201)
358: (x,y) = (-0.623278, -26.4034)
359: (x,y) = (0.863011, -27.7417)
360: (x,y) = (-1.02803, -27.0905)
361: (x,y) = (0.928269, -26.6747)
362: (x,y) = (2.29227, -28.1374)
363: (x,y) = (4.25552, -28.519)
364: (x,y) = (2.32367, -28.0014)
365: (x,y) = (4.038, -26.9713)
366: (x,y) = (2.83437, -28.5686)
367: (x,y) = (4.51171, -29.6579)
368: (x,y) = (3.51171, -27.9258)
369: (x,y) = (1.64455, -28.6425)
370: (x,y) = (2.48979, -26.8299)
371: (x,y) = (1.0035, -28.1682)
372: (x,y) = (-0.778512, -29.0762)
373: (x,y) = (0.660167, -30.4655)
374: (x,y) = (2.40941, -31.4351)
375: (x,y) = (4.37266, -31.0535)
376: (x,y) = (4.75428, -33.0167)
377: (x,y) = (4.75428, -31.0167)
378: (x,y) = (2.92719, -30.2033)
379: (x,y) = (1.07282, -30.9525)
380: (x,y) = (-0.436599, -29.6404)
381: (x,y) = (0.927398, -28.1776)
382: (x,y) = (2.45949, -29.4632)
383: (x,y) = (0.527635, -28.9456)
384: (x,y) = (0.318578, -26.9565)
385: (x,y) = (-1.50851, -26.1431)
386: (x,y) = (-1.09269, -24.1868)
387: (x,y) = (-2.80702, -23.1567)
388: (x,y) = (-1.54838, -24.711)
389: (x,y) = (-0.429997, -26.3691)
390: (x,y) = (0.539622, -24.6198)
391: (x,y) = (1.87788, -23.1335)
392: (x,y) = (1.22675, -21.2425)
393: (x,y) = (0.413273, -19.4154)
394: (x,y) = (-0.368189, -21.2564)
395: (x,y) = (1.63151, -21.2913)
396: (x,y) = (-0.360883, -21.4656)
397: (x,y) = (1.53015, -22.1168)
398: (x,y) = (2.73378, -20.5195)
399: (x,y) = (1.09548, -21.6667)
400: (x,y) = (1.64675, -19.7441)
401: (x,y) = (-0.194255, -20.5256)
402: (x,y) = (-0.22916, -18.5259)
403: (x,y) = (-1.0744, -16.7133)
404: (x,y) = (0.857456, -17.2309)
405: (x,y) = (0.475838, -15.2677)
406: (x,y) = (-0.337636, -17.0948)
407: (x,y) = (1.35846, -18.1546)
408: (x,y) = (2.2037, -19.9672)
409: (x,y) = (4.18879, -20.2109)
410: (x,y) = (5.82709, -19.0638)
411: (x,y) = (6.20871, -21.027)
412: (x,y) = (7.08545, -22.8246)
413: (x,y) = (7.50128, -20.8683)
414: (x,y) = (5.55254, -21.3182)
415: (x,y) = (5.20524, -19.3486)
416: (x,y) = (5.34475, -17.3535)
417: (x,y) = (4.99746, -19.3231)
418: (x,y) = (4.85794, -21.3182)
419: (x,y) = (5.60716, -23.1726)
420: (x,y) = (7.59955, -23.3469)
421: (x,y) = (5.65081, -22.897)
422: (x,y) = (6.20208, -24.8195)
423: (x,y) = (6.27188, -26.8183)
424: (x,y) = (7.82617, -25.5597)
425: (x,y) = (9.62376, -26.4364)
426: (x,y) = (9.93663, -24.4611)
427: (x,y) = (11.9318, -24.3215)
428: (x,y) = (10.4223, -23.0094)
429: (x,y) = (9.21871, -21.4121)
430: (x,y) = (10.608, -19.9735)
431: (x,y) = (8.64477, -20.3551)
432: (x,y) = (9.39398, -18.5007)
433: (x,y) = (7.48137, -19.0855)
434: (x,y) = (5.55885, -18.5342)
435: (x,y) = (3.84452, -17.5041)
436: (x,y) = (4.84452, -19.2362)
437: (x,y) = (3.72613, -17.5781)
438: (x,y) = (5.70667, -17.8564)
439: (x,y) = (3.90908, -18.7332)
440: (x,y) = (2.51976, -17.2945)
441: (x,y) = (2.44996, -19.2933)
442: (x,y) = (3.5098, -17.5972)
443: (x,y) = (2.30617, -15.9999)
444: (x,y) = (2.41084, -17.9972)
445: (x,y) = (2.6199, -16.0081)
446: (x,y) = (0.923804, -14.9483)
447: (x,y) = (-0.825435, -13.9787)
448: (x,y) = (0.98718, -14.8239)
449: (x,y) = (-0.976074, -14.4423)
450: (x,y) = (0.387922, -15.905)
451: (x,y) = (-1.43917, -16.7185)
452: (x,y) = (-3.23676, -17.5952)
453: (x,y) = (-3.98597, -15.7408)
454: (x,y) = (-3.46833, -13.809)
455: (x,y) = (-3.71207, -15.7941)
456: (x,y) = (-5.71085, -15.8639)
457: (x,y) = (-6.94217, -17.4399)
458: (x,y) = (-6.32414, -19.342)
459: (x,y) = (-5.8065, -21.2739)
460: (x,y) = (-6.68325, -19.4763)
461: (x,y) = (-6.47419, -17.4872)
462: (x,y) = (-8.47388, -17.5221)
463: (x,y) = (-7.88914, -19.4348)
464: (x,y) = (-6.8293, -21.1308)
465: (x,y) = (-8.79256, -21.5125)
466: (x,y) = (-10.7923, -21.4776)
467: (x,y) = (-12.4696, -22.5668)
468: (x,y) = (-11.8516, -24.469)
469: (x,y) = (-10.3195, -23.1834)
470: (x,y) = (-12.1015, -22.2754)
471: (x,y) = (-11.0122, -23.9527)
472: (x,y) = (-12.2708, -25.507)
473: (x,y) = (-14.2196, -25.9569)
474: (x,y) = (-15.7059, -24.6187)
475: (x,y) = (-16.8243, -26.2767)
476: (x,y) = (-16.5805, -28.2618)
477: (x,y) = (-14.5817, -28.192)
478: (x,y) = (-15.5514, -29.9413)
479: (x,y) = (-15.9672, -27.985)
480: (x,y) = (-14.2013, -27.046)
481: (x,y) = (-15.5134, -25.5366)
482: (x,y) = (-15.7918, -23.5561)
483: (x,y) = (-17.6328, -22.7746)
484: (x,y) = (-15.684, -22.3247)
485: (x,y) = (-15, -24.2041)
486: (x,y) = (-14.2832, -26.0713)
487: (x,y) = (-14.9344, -27.9623)
488: (x,y) = (-16.0237, -26.285)
489: (x,y) = (-17.1992, -27.903)
490: (x,y) = (-18.1072, -29.685)
491: (x,y) = (-18.5911, -27.7444)
492: (x,y) = (-19.4678, -25.9468)
493: (x,y) = (-21.1821, -24.9168)
494: (x,y) = (-22.7794, -26.1204)
495: (x,y) = (-20.8569, -25.5691)
496: (x,y) = (-18.8569, -25.5691)
497: (x,y) = (-17.2809, -26.8004)
498: (x,y) = (-15.3003, -27.0788)
499: (x,y) = (-16.0171, -28.9459)
500: (x,y) = (-14.4198, -27.7423)
501: (x,y) = (-16.3894, -27.395)
502: (x,y) = (-15.5759, -25.5679)
503: (x,y) = (-14.4867, -23.8906)
504: (x,y) = (-13.0004, -22.5523)
505: (x,y) = (-13.7496, -24.4067)
506: (x,y) = (-15.7386, -24.6157)
507: (x,y) = (-14.6202, -22.9577)
508: (x,y) = (-14.3765, -20.9726)
509: (x,y) = (-15.1257, -19.1182)
510: (x,y) = (-13.4484, -20.2075)
511: (x,y) = (-13.0667, -22.1707)
512: (x,y) = (-14.9893, -22.722)
513: (x,y) = (-16.7869, -21.8453)
514: (x,y) = (-18.5844, -22.722)
515: (x,y) = (-19.3012, -20.8549)
516: (x,y) = (-21.2902, -21.0639)
517: (x,y) = (-21.4297, -19.0688)
518: (x,y) = (-23.0058, -17.8375)
519: (x,y) = (-21.3477, -18.9558)
520: (x,y) = (-21.899, -20.8784)
521: (x,y) = (-23.681, -19.9704)
522: (x,y) = (-22.0229, -18.852)
523: (x,y) = (-24.0202, -18.9567)
524: (x,y) = (-22.3819, -17.8095)
525: (x,y) = (-24.3742, -17.9838)
526: (x,y) = (-24.9255, -16.0613)
527: (x,y) = (-26.9206, -15.9218)
528: (x,y) = (-28.31, -17.3605)
529: (x,y) = (-29.2489, -15.5946)
530: (x,y) = (-31.1714, -16.1459)
531: (x,y) = (-32.5354, -17.6086)
532: (x,y) = (-32.0855, -19.5573)
533: (x,y) = (-30.7999, -18.0252)
534: (x,y) = (-30.3841, -19.9815)
535: (x,y) = (-32.3537, -20.3288)
536: (x,y) = (-34.351, -20.4335)
537: (x,y) = (-32.9617, -21.8722)
538: (x,y) = (-33.8069, -20.0595)
539: (x,y) = (-35.4843, -18.9703)
540: (x,y) = (-35.0004, -17.0297)
541: (x,y) = (-36.0897, -18.707)
542: (x,y) = (-35.1508, -16.9411)
543: (x,y) = (-37.114, -16.5595)
544: (x,y) = (-39.0773, -16.1779)
545: (x,y) = (-37.1979, -15.4938)
546: (x,y) = (-38.2872, -13.8165)
547: (x,y) = (-36.8009, -12.4782)
548: (x,y) = (-35.3867, -13.8925)
549: (x,y) = (-34.417, -15.6417)
550: (x,y) = (-35.325, -13.8597)
551: (x,y) = (-34.1494, -12.2416)
552: (x,y) = (-32.4721, -13.3309)
553: (x,y) = (-31.3537, -14.989)
554: (x,y) = (-31.4932, -12.9939)
555: (x,y) = (-33.3604, -13.7106)
556: (x,y) = (-31.4379, -13.1593)
557: (x,y) = (-29.4625, -12.8465)
558: (x,y) = (-28.0985, -14.3092)
559: (x,y) = (-26.118, -14.0308)
560: (x,y) = (-24.1256, -14.2051)
561: (x,y) = (-22.3935, -15.2051)
562: (x,y) = (-22.3935, -17.2051)
563: (x,y) = (-24.0516, -16.0867)
564: (x,y) = (-25.9188, -16.8035)
565: (x,y) = (-26.7002, -18.6445)
566: (x,y) = (-27.2179, -16.7126)
567: (x,y) = (-29.0449, -17.5261)
568: (x,y) = (-29.3233, -19.5067)
569: (x,y) = (-27.609, -18.4766)
570: (x,y) = (-29.5895, -18.1982)
571: (x,y) = (-27.9922, -16.9946)
572: (x,y) = (-29.9873, -16.8551)
573: (x,y) = (-31.957, -16.5078)
574: (x,y) = (-30.0164, -16.0239)
575: (x,y) = (-31.9969, -15.7456)
576: (x,y) = (-31.1517, -13.933)
577: (x,y) = (-29.1565, -14.0725)
578: (x,y) = (-28.4073, -12.2181)
579: (x,y) = (-26.5052, -12.8362)
580: (x,y) = (-26.9551, -14.7849)
581: (x,y) = (-28.9442, -14.994)
582: (x,y) = (-30.3584, -13.5797)
583: (x,y) = (-29.0997, -15.134)
584: (x,y) = (-31.0848, -14.8903)
585: (x,y) = (-29.2054, -14.2063)
586: (x,y) = (-30.7815, -12.9749)
587: (x,y) = (-32.2909, -14.2871)
588: (x,y) = (-33.1676, -12.4895)
589: (x,y) = (-33.2374, -10.4907)
590: (x,y) = (-31.4882, -9.52107)
591: (x,y) = (-29.5128, -9.2082)
592: (x,y) = (-31.4933, -9.48654)
593: (x,y) = (-29.5615, -8.96891)
594: (x,y) = (-28.3859, -7.35087)
595: (x,y) = (-26.7887, -6.14724)
596: (x,y) = (-25.6415, -7.78555)
597: (x,y) = (-27.6339, -7.95986)
598: (x,y) = (-27.2523, -5.9966)
599: (x,y) = (-29.2374, -5.75287)
600: (x,y) = (-27.9518, -7.28495)
601: (x,y) = (-27.9518, -9.28495)
602: (x,y) = (-29.0411, -10.9623)
603: (x,y) = (-27.139, -11.5803)
604: (x,y) = (-29.03, -12.2315)
605: (x,y) = (-27.0312, -12.3013)
606: (x,y) = (-29.0263, -12.1618)
607: (x,y) = (-30.9582, -12.6794)
608: (x,y) = (-31.0629, -10.6821)
609: (x,y) = (-31.5467, -8.74154)
610: (x,y) = (-33.033, -10.0798)
611: (x,y) = (-31.2671, -11.0187)
612: (x,y) = (-32.3564, -9.3414)
613: (x,y) = (-30.8701, -8.00314)
614: (x,y) = (-30.9399, -10.0019)
615: (x,y) = (-28.9703, -9.65463)
616: (x,y) = (-27.484, -8.31637)
617: (x,y) = (-28.9227, -9.70568)
618: (x,y) = (-30.4987, -10.937)
619: (x,y) = (-28.5499, -10.4871)
620: (x,y) = (-27.9319, -12.3892)
621: (x,y) = (-29.6092, -11.2999)
622: (x,y) = (-28.9581, -9.4089)
623: (x,y) = (-30.9069, -9.8588)
624: (x,y) = (-29.2488, -10.9772)
